endTime,artistName,trackName,msPlayed
2020-10-15 17:31,Vanessa Paradis,Tu Si Na Cosa Grande,170800
2020-10-15 17:34,Camélia Jordana,Moi c'est,170893
2020-10-15 17:38,Carla Bruni,Notre grand amour est mort,205213
2020-10-15 17:40,Yann Tiersen,Plus d'hiver,143533
2020-10-15 17:43,Cœur De Pirate,La vie est ailleurs,147226
2020-10-15 17:46,Vanessa Paradis,Joe le taxi,235226
2020-10-15 17:49,Blossom Dearie,Plus Je T'embrasse,149533
2020-10-15 17:53,Zaz,Prends garde à ta langue,221320
2020-10-15 17:56,Stacey Kent,La vénus du mélo,175089
2020-10-15 17:59,Stacey Kent,Jardin d'hiver,214003
2020-10-15 18:03,Alex Beaupain,A La Mer,249360
2020-10-15 18:06,Camille,Pour que l'amour me quitte,166720
2020-10-15 18:09,Franck Monnet,Après Un Rêve,178226
2020-10-15 18:14,Cœur De Pirate,Berceuse,127400
2020-10-15 18:18,Carla Bruni,Je suis une enfant,190560
2020-10-15 18:21,Caracol,L'autel de l'absence,213760
2020-10-15 18:24,Carla Bruni,Tu es ma came,182906
2020-10-15 18:28,Patachou,Mon homme,215280
2020-10-15 18:32,Brigitte,Battez-vous,243758
2020-10-15 18:33,Barbara Carlotti,Cannes,46906
2020-10-17 13:46,Barbara Carlotti,Cannes,106017
2020-10-17 13:49,Cœur De Pirate,Le long du large,159133
2020-10-17 13:50,Rose,De ma fenêtre,60507
2020-10-17 13:54,Taylor Swift,the last great american dynasty,231000
2020-10-17 13:58,Taylor Swift,my tears ricochet,255893
2020-10-17 14:00,Taylor Swift,cardigan,113015
2020-10-17 14:15,Taylor Swift,cardigan,126538
2020-10-17 14:18,Taylor Swift,illicit affairs,190893
2020-10-17 14:21,Taylor Swift,the lakes - bonus track,211813
2020-10-17 14:25,Taylor Swift,the 1,148462
2020-10-17 14:25,Taylor Swift,the 1,11308
2020-10-17 23:03,Taylor Swift,the 1,50461
2020-10-17 23:08,Taylor Swift,august,261920
2020-10-17 23:12,Taylor Swift,peace,234000
2020-10-17 23:16,Taylor Swift,epiphany,289746
2020-10-17 23:20,Taylor Swift,seven,3222
2020-10-17 23:20,Taylor Swift,this is me trying,195106
2020-10-18 03:54,Taylor Swift,seven,205612
2020-10-18 03:59,Taylor Swift,betty,294520
